album_name,release_date,artwork_url,track_name,track_number,duration_ms,spotify_track_id,official_track_number,official_track_name,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_listeners,lastfm_track_playcount,musicbrainz_recording_id,bpm
Human,1991,https://i.scdn.co/image/ab67616d0000b273102ca8d392d62662c1938ebd,Together As One,3,248040,5aeMbbBgnEmbww0Wrax4xr,3,Together as One,147178,1001839,147178,1001839,147178,1001839,147178,1001839,f86eb7e5-da6c-479f-82cc-43a5c9449106,152.068924
Human,1991,https://i.scdn.co/image/ab67616d0000b273102ca8d392d62662c1938ebd,Secret Face,4,274466,2DWNGHlrnOmfQCsJclj3Sz,4,Secret Face,133858,807918,133858,807918,133858,807918,133858,807918,604599eb-9f9c-4f6f-b5ec-0a6b927a4c96,90.32024384
Human,1991,https://i.scdn.co/image/ab67616d0000b273102ca8d392d62662c1938ebd,Lack of Comprehension,5,221480,1OePro13vwG9uI5tdREYLU,5,Lack of Comprehension,197704,1663528,197704,1663528,197704,1663528,197704,1663528,a2e1c7a5-3252-4fad-a0a5-31b94c8db1cf,172.2654114
Human,1991,https://i.scdn.co/image/ab67616d0000b273102ca8d392d62662c1938ebd,See Through Dreams,6,264480,7audyKMpvgzO3ttY1T0ZLJ,6,See Through Dreams,124021,782701,124021,782701,124021,782701,124021,782701,a68a5728-fab3-4984-b4da-adcb59e4ba2a,135.9845886
Human,1991,https://i.scdn.co/image/ab67616d0000b273102ca8d392d62662c1938ebd,Cosmic Sea,7,264746,1JiS9XUED8DGFQfmXPB78L,7,Cosmic Sea,130983,786700,130983,786700,130983,786700,130983,786700,7d25f921-e642-4316-a2ac-c32f7c5da079,105.0158691
Human,1991,https://i.scdn.co/image/ab67616d0000b273102ca8d392d62662c1938ebd,Vacant Planets,8,229160,2O9tG9RSQdKFgbJ5KBTzrv,8,Vacant Planets,118186,660748,118186,660748,118186,660748,118186,660748,4bbfe344-7aa5-4490-8a68-e7d3b14de83a,172.2654266
Individual Thought Patterns,1993,https://i.scdn.co/image/ab67616d0000b273ae31b20b56a58a493d3e7014,Overactive Imagination,1,209973,2zXMCESfPOjWN3Sl50FBsQ,1,Overactive Imagination,127243,882277,127243,882277,127243,882277,127243,882277,f545c58c-7465-4fd2-a67b-58d4f4644286,136
Individual Thought Patterns,1993,https://i.scdn.co/image/ab67616d0000b273ae31b20b56a58a493d3e7014,In Human Form,2,236933,7yZa75S8OLOhS2R0SvNZKD,2,In Human Form,113137,702842,113137,702842,113137,702842,113137,702842,89996b98-c79b-44d5-885e-15667a7297df,92
Individual Thought Patterns,1993,https://i.scdn.co/image/ab67616d0000b273ae31b20b56a58a493d3e7014,Jealousy,3,220866,4hUJPdtoHv9H3JwzXkNCHu,3,Jealousy,110811,682314,110811,682314,110811,682314,110811,682314,9c129ff2-5dba-434b-9e3e-0a58310d8b60,102
Individual Thought Patterns,1993,https://i.scdn.co/image/ab67616d0000b273ae31b20b56a58a493d3e7014,Trapped In A Corner,4,253893,21XCvFeoNSumlSm9AVSCww,4,Trapped in a Corner,122822,921850,122822,921850,122822,921850,122822,921850,57d6a694-3d0d-4519-b508-a472084506ca,164.548645
Individual Thought Patterns,1993,https://i.scdn.co/image/ab67616d0000b273ae31b20b56a58a493d3e7014,Nothing Is Everything,5,198266,58qUhRQpnKmFTd3XNVckRm,5,Nothing Is Everything,104710,646741,104710,646741,104710,646741,104710,646741,624191e4-1a95-4034-8cff-4b27437d0f61,110
Individual Thought Patterns,1993,https://i.scdn.co/image/ab67616d0000b273ae31b20b56a58a493d3e7014,Mentally Blind,6,287400,3070NkN6Czg0VVG2OTLqCE,6,Mentally Blind,101581,611522,101581,611522,101581,611522,101581,611522,1bbc5896-75d9-4e31-be98-821b93386a1e,142.5188446
Individual Thought Patterns,1993,https://i.scdn.co/image/ab67616d0000b273ae31b20b56a58a493d3e7014,Individual Thought Patterns,7,240373,1TS1zgR1CIJLfXzVe0HciD,7,Individual Thought Patterns,98242,569139,98242,569139,98242,569139,98242,569139,612ed956-0356-46f6-8e97-7943790ec9a1,139
Individual Thought Patterns,1993,https://i.scdn.co/image/ab67616d0000b273ae31b20b56a58a493d3e7014,Destiny,8,245826,2xbeXGeJTzVawKpzDknHdZ,8,Destiny,97049,566917,97049,566917,97049,566917,97049,566917,0657c0a7-6ad5-4a48-a686-8d5b66d3364b,101
Individual Thought Patterns,1993,https://i.scdn.co/image/ab67616d0000b273ae31b20b56a58a493d3e7014,Out Of Touch,9,261399,2tPmGJvNaEEx6E6gONsWu9,9,Out of Touch,91331,503284,91331,503284,91331,503284,91331,503284,f50bf759-2e12-4910-adb5-e88811f7292a,100
Individual Thought Patterns,1993,https://i.scdn.co/image/ab67616d0000b273ae31b20b56a58a493d3e7014,The Philosopher,10,250600,1tSOyjMlunoGZSdzNufJ8k,10,The Philosopher,181391,1422609,181391,1422609,181391,1422609,181391,1422609,772843b1-f455-469d-a606-28052dc47ac9,133
Symbolic,3/19/95,https://i.scdn.co/image/ab67616d0000b2739516f5c3bad899056b034a00,Symbolic,1,392800,0dpFb4qv92TE9R00Lq4SAW,1,Symbolic,311662,2543590,311662,2543590,311662,2543590,311662,2543590,510248c6-c6fd-4782-aac1-033d57ecd10a,130.4524231
Symbolic,3/19/95,https://i.scdn.co/image/ab67616d0000b2739516f5c3bad899056b034a00,Zero Tolerance,2,288866,71MrVsb0pbIDpFOlYCVIhE,2,Zero Tolerance,206059,1574004,206059,1574004,206059,1574004,206059,1574004,d1b204a8-8c02-4999-a881-3fa7a4e544d9,163.8145294
Symbolic,3/19/95,https://i.scdn.co/image/ab67616d0000b2739516f5c3bad899056b034a00,Empty Words,3,382026,5XWpYr8V9DxbmH0Njtsfhq,3,Empty Words,194191,1449282,194191,1449282,194191,1449282,194191,1449282,8488987c-2d71-47ae-bf88-4be2a5879d83,117
Symbolic,3/19/95,https://i.scdn.co/image/ab67616d0000b2739516f5c3bad899056b034a00,Sacred Serenity,4,267013,5I2nvva658EdhIAtRQadWG,4,Sacred Serenity,177210,1210333,177210,1210333,177210,1210333,177210,1210333,e961e355-8dfd-4bfc-ae63-ad0fe6a887cd,138.8014069
Symbolic,3/19/95,https://i.scdn.co/image/ab67616d0000b2739516f5c3bad899056b034a00,"1,000 Eyes",5,268653,4DUF5hZMBIcAmEF5MAfqzx,5,"1,000 Eyes",162567,1160496,162567,1160496,162567,1160496,162567,1160496,1bd3f327-eeeb-4237-b492-4564fe34599c,153.0201263
Symbolic,3/19/95,https://i.scdn.co/image/ab67616d0000b2739516f5c3bad899056b034a00,Without Judgement,6,328013,0QHAeWDMHjkCb1VVHAkXxY,6,Without Judgement,176781,1259357,176781,1259357,176781,1259357,176781,1259357,57f15761-99dc-415b-b992-7df20f2e68b1,164.9564209
Symbolic,3/19/95,https://i.scdn.co/image/ab67616d0000b2739516f5c3bad899056b034a00,Crystal Mountain,7,307426,0ItAcLSkUiePOmFGun3cSe,7,Crystal Mountain,278104,2697251,278104,2697251,278104,2697251,278104,2697251,c7c7c787-e1d9-4814-9316-66c850b698da,178.2060699
